#block	written	holding	exposure	total credit balance	total stablecoin balance
18352	0	0	0.00	21384281945067.00	21384281945067.00
18364	3517000000	3517000000	0.00	37649844305602.00	37649844305602.00
18389	13261000000	13261000000	0.00	44639154035103.00	44639154035103.00
18425	14829000000	14829000000	0.00	50448897564767.00	50448897564767.00
18461	18176000000	18176000000	0.00	56398600295224.00	56398600295224.00
18492	25754000000	25754000000	0.00	58492898130628.00	58492898130628.00
18537	32506000000	32506000000	0.00	62485657014670.00	62485657014670.00
18579	37894000000	37894000000	0.00	66822932616407.00	66822932616407.00
18632	42607000000	42607000000	0.00	69266203862655.00	69266203862655.00
18705	48728000000	48728000000	0.00	70463288589883.00	70463288589883.00
18786	55984000000	55984000000	0.00	72642884231233.00	72642884231233.00
18857	63832000000	63832000000	0.00	72943129623233.00	72943129623233.00
18910	69780000000	69780000000	0.00	72845198623233.00	72845198623233.00
19021	76098000000	76098000000	0.00	73460284202953.00	73460284202953.00
19096	83509000000	83509000000	0.00	73575120157748.00	73575120157748.00
19201	90070000000	90070000000	0.00	73539832157748.00	73539832157748.00
19321	93864000000	93864000000	0.00	73570230745189.00	73570230745189.00
19399	99362000000	99362000000	0.00	73501638745189.00	73501638745189.00
19494	104709000000	104709000000	0.00	74493803856104.00	74493803856104.00
19521	111621000000	111621000000	0.00	74470371856104.00	74470371856104.00
19555	120167000000	120167000000	0.00	74426863856104.00	74426863856104.00
19587	131683000000	131683000000	0.00	74412974856104.00	74412974856104.00
19618	137113000000	137113000000	0.00	74355465856104.00	74355465856104.00
19647	144632000000	144632000000	0.00	74320750856104.00	74320750856104.00
19729	150934000000	150934000000	0.00	74314822856104.00	74314822856104.00
19839	153528206965	157944000000	0.00	74291127856104.00	74291127856104.00
19950	149422869586	160838000000	0.00	74220523856104.00	74220523856104.00
20062	154665869586	166081000000	0.00	74211493856104.00	74211493856104.00
20237	154131031275	171664000000	0.00	74203408856104.00	74203408856104.00
20310	159752274944	177551000000	0.00	74190097856104.00	74190097856104.00
20423	163632479722	183613000000	0.00	74174753856104.00	74174753856104.00
20518	167201676282	191365000000	0.00	74170977856104.00	74170977856104.00
20675	165494951472	192711000000	0.00	74124702856104.00	74124702856104.00
20804	164841300992	197915000000	0.00	74070727856104.00	74070727856104.00
20915	168233547568	203189000000	0.00	74056226856104.00	74056226856104.00
20989	173119938136	208401000000	0.00	74055845856104.00	74055845856104.00
21101	171982045462	213025000000	0.00	74047074856104.00	74047074856104.00
21211	177206045462	218249000000	0.00	74047074856104.00	74047074856104.00
21284	181442156281	223299000000	0.00	74004195856104.00	74004195856104.00
21357	185892156281	227749000000	0.00	74004151856104.00	74004151856104.00
21487	188105592860	232288000000	0.00	74003900856104.00	74003900856104.00
21578	193482188418	238062000000	0.00	73989689856104.00	73989689856104.00
